center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[147.   4. 884.  10.  68.  60.  53.  96.],110,147,1,['PERSON'],175,1,"['We ran I\\n\\n\\n\\ncreated the New York State Smokers Quit Line, which\\n\\n\\n\\nprovided a toll free hotline for smokers to call\\n\\n\\n\\nto get help.  ']",[884],['Quit Line']
[148.   4. 884.   9.  68.  60.  53. 194.],111,148,0,['ORG'],175,1,"['We ran I\\n\\n\\n\\ncreated the New York State Smokers Quit Line, which\\n\\n\\n\\nprovided a toll free hotline for smokers to call\\n\\n\\n\\nto get help.  ']",[884],['which\\n\\n\\n\\nprovided']
[149.   4. 884.   3.  68.  60.  53. 129.],112,149,0,['GPE'],175,1,"['We ran I\\n\\n\\n\\ncreated the New York State Smokers Quit Line, which\\n\\n\\n\\nprovided a toll free hotline for smokers to call\\n\\n\\n\\nto get help.  ']",[884],['call\\n\\n\\n\\nto']
[150.   5. 908.   1.  18.  19.  57. 178.],113,150,1,['DATE'],175,1,"[""I set that up in the late 90's, and survey\\n\\n\\n\\nresearch center, tobacco testing lab.  ""]",[908],"[""the late 90's""]"
[151.   5. 908.   9.  18.  19.  57. 171.],114,151,0,['ORG'],175,1,"[""I set that up in the late 90's, and survey\\n\\n\\n\\nresearch center, tobacco testing lab.  ""]",[908],['survey\\n\\n\\n\\nresearch']
[152.   1. 927.   1.  13.  48.  37.  21.],115,152,1,['DATE'],175,1,"['So, you know, it\\n\\n\\n\\nsort of follows along.\\n\\n\\n\\nThen when I left in 2011.']",[927],['2011']
[153.   1. 942.   3.  24.  38.  58.  45.],116,153,1,['GPE'],175,1,"['My family had all\\n\\n\\n\\nmoved, my kids had settled in Charleston.  ']",[942],['Charleston']
[154.   7. 955.  10.  67.  55.  44.  78.],117,154,0,['PERSON'],175,1,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['Medical\\n\\n\\n\\nUniversity']
[155.   7. 955.   3.  67.  55.  44.  45.],118,155,1,['GPE'],175,1,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['Charleston']
[156.   7. 955.   9.  67.  55.  44. 128.],119,156,0,['ORG'],175,3,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['been\\n\\n\\n\\nthere']
[156.   7. 955.   9.  67.  55.  44. 128.],119,158,0,['ORG'],175,3,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['activities.\\n\\n\\n\\nI']
[156.   7. 955.   9.  67.  55.  44. 128.],119,159,0,['ORG'],175,3,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['cessation\\n\\n\\n\\nservice']
[157.   7. 955.   1.  67.  55.  44. 139.],120,157,1,['DATE'],175,1,"[""The Medical\\n\\n\\n\\nUniversity offered me a job, so I left the cold and went\\n\\n\\n\\nto see the grandkids down in Charleston, and I've been\\n\\n\\n\\nthere for five years, where I've essentially tried to\\n\\n\\n\\nreplicate the same kinds of activities.\\n\\n\\n\\nI have set up a hospital-based cessation\\n\\n\\n\\nservice for our patients.  ""]",[955],['five years']
"[1.600e+02 1.000e+00 1.008e+03 9.000e+00 5.000e+01 1.300e+01 4.300e+01
 1.560e+02]",121,160,0,['ORG'],175,1,['Every patient that comes in\\n\\n\\n\\nthe hospital or emergency room is automatically offered\\n\\n\\n\\ntreatment services for smoking.  '],[1008],['offered\\n\\n\\n\\ntreatment']
[ 161.    3. 1025.   12.   79.   59.   36.  125.],122,161,0,['PRODUCT'],175,1,['We follow them after\\n\\n\\n\\ndischarge and offer them basically access to medications\\n\\n\\n\\nand follow-up support in a variety of ways.\\n\\n\\n\\nQ    '],[1025],['after\\n\\n\\n\\ndischarge']
[ 162.    3. 1025.    2.   79.   59.   36.  150.],123,162,0,['FAC'],175,1,['We follow them after\\n\\n\\n\\ndischarge and offer them basically access to medications\\n\\n\\n\\nand follow-up support in a variety of ways.\\n\\n\\n\\nQ    '],[1025],['medications\\n\\n\\n\\nand']
[ 163.    3. 1025.    9.   79.   59.   36.  191.],124,163,0,['ORG'],175,1,['We follow them after\\n\\n\\n\\ndischarge and offer them basically access to medications\\n\\n\\n\\nand follow-up support in a variety of ways.\\n\\n\\n\\nQ    '],[1025],['ways.\\n\\n\\n\\nQ']
"[1.640e+02 1.000e+00 1.046e+03 9.000e+00 4.900e+01 6.600e+01 4.300e+01
 1.540e+02]",125,164,0,['ORG'],175,1,['What is your social security number?\\n\\nA    '],[1046],['number?\\n\\nA']
"[1.650e+02 1.000e+00 1.053e+03 0.000e+00 7.000e+00 5.000e+00 5.000e+00
 3.700e+01]",126,165,1,['CARDINAL'],175,1,['859-34-1544\\n\\nQ    '],[1053],['859']
[ 166.    4. 1059.    2.   20.   10.   30.  102.],127,166,1,['FAC'],175,1,['And while at Roswell Park did you completely\\n\\n\\n\\nbecome the director of the tobacco cessation center?\\n\\n\\n\\nA    '],[1059],['Roswell Park']
[ 168.    4. 1059.   12.   20.   10.   30.  131.],128,167,0,['PERSON'],175,2,['And while at Roswell Park did you completely\\n\\n\\n\\nbecome the director of the tobacco cessation center?\\n\\n\\n\\nA    '],[1059],['completely\\n\\n\\n\\nbecome']
[ 168.    4. 1059.   12.   20.   10.   30.  131.],128,168,0,['PRODUCT'],175,2,['And while at Roswell Park did you completely\\n\\n\\n\\nbecome the director of the tobacco cessation center?\\n\\n\\n\\nA    '],[1059],['center?\\n\\n\\n\\nA']
[ 170.   10. 1085.    3.   17.   57.   34.   40.],129,170,1,['GPE'],175,1,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['Adventist']
[ 171.   10. 1085.    3.   17.   57.   34.  101.],130,169,1,['DATE'],175,3,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['Seven-day']
[ 171.   10. 1085.    3.   17.   57.   34.  101.],130,171,2,['GPE'],175,3,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['Roswell']
[ 171.   10. 1085.    3.   17.   57.   34.  101.],130,175,3,['GPE'],175,3,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['Roswell']
[ 172.   10. 1085.    8.   17.   57.   34.  138.],131,172,1,['ORDINAL'],175,1,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['first']
[ 173.   10. 1085.    0.   17.   57.   34.   27.],132,173,1,['CARDINAL'],175,1,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],['30']
[ 174.   10. 1085.    0.   17.   57.   34.  155.],133,174,0,['CARDINAL'],175,1,"['They used to have\\n\\n\\n\\nthe Seven-day Adventist program come in once a year to\\n\\n\\n\\nrun clinics at Roswell when I first arrived there, and\\n\\n\\n\\nso I established stop smoking clinics for patients and\\n\\n\\n\\noperated those personally for 30 years.\\n\\n\\n\\nSo I probably have personally taken care of\\n\\n\\n\\nabout 10,000 or more smokers, running the clinics when I\\n\\n\\n\\nwas at Roswell, and then we set up the quit line to\\n\\n\\n\\nbasically make it easier.  ']",[1085],"['of\\n\\n\\n\\nabout 10,000']"
[ 176.    2. 1174.    9.   38.   47.   59.   46.],134,176,1,['ORG'],175,1,"['So, Cooper could you please share your nationality?\\n\\nA    ']",[1174],['Cooper']
[ 177.    2. 1174.    9.   38.   47.   59.  153.],135,177,0,['ORG'],175,1,"['So, Cooper could you please share your nationality?\\n\\nA    ']",[1174],['nationality?\\n\\nA    ']
"[1.780e+02 1.000e+00 1.186e+03 8.000e+00 3.500e+01 1.800e+01 5.600e+01
 1.380e+02]",136,178,1,['ORDINAL'],175,1,['I just said a term for the first time.\\n\\n\\n\\nCessation.  '],[1186],['first']
"[1.790e+02 1.000e+00 1.203e+03 1.200e+01 8.000e+01 7.600e+01 4.700e+01
 1.490e+02]",137,179,0,['PRODUCT'],175,1,"['means,\\n\\n\\n\\nsimply?\\n\\n\\n\\nA    ']",[1203],"['means,\\n\\n\\n\\nsimply?\\n\\n\\n\\nA']"
"[1.800e+02 1.000e+00 1.208e+03 2.000e+00 2.100e+01 6.700e+01 3.200e+01
 1.440e+02]",138,180,0,['FAC'],175,1,"['You know, cessation is discontinuing the\\n\\n\\n\\nbehavior, in this case the behavior of smoking, which is\\n\\n\\n\\na struggle for most smokers because of nicotine\\n\\n\\n\\naddiction.  ']",[1208],['is\\n\\n\\n\\na']
[ 181.    2. 1235.    2.   23.    8.   31.  169.],139,181,0,['FAC'],175,1,['And so developing treatments to help smokers\\n\\n\\n\\novercome their nicotine dependence.\\n\\n\\n\\nQ    '],[1235],['smokers\\n\\n\\n\\novercome']
[ 182.    2. 1235.   12.   23.    8.   31.  137.],140,182,0,['PRODUCT'],175,1,['And so developing treatments to help smokers\\n\\n\\n\\novercome their nicotine dependence.\\n\\n\\n\\nQ    '],[1235],['dependence.\\n\\n\\n\\nQ    ']
[ 183.    4. 1246.    9.   61.   32.   48.  199.],141,183,0,['ORG'],175,1,"['In addition to, and you mentioned that you\\n\\n\\n\\ndeveloped and headed up the stop, or the smokers quit\\n\\n\\n\\nline for the state of New York.\\n\\n\\n\\nA    ']",[1246],['you\\n\\n\\n\\ndeveloped']
[ 184.    4. 1246.    0.   61.   32.   48.  163.],142,184,0,['CARDINAL'],175,1,"['In addition to, and you mentioned that you\\n\\n\\n\\ndeveloped and headed up the stop, or the smokers quit\\n\\n\\n\\nline for the state of New York.\\n\\n\\n\\nA    ']",[1246],['quit\\n\\n\\n\\nline']
[ 185.    4. 1246.    5.   61.   32.   48.   87.],143,185,0,['LOC'],175,1,"['In addition to, and you mentioned that you\\n\\n\\n\\ndeveloped and headed up the stop, or the smokers quit\\n\\n\\n\\nline for the state of New York.\\n\\n\\n\\nA    ']",[1246],['New York.\\n\\n\\n\\nA']
"[1.860e+02 1.000e+00 1.272e+03 1.000e+01 7.600e+01 5.400e+01 1.000e+00
 1.670e+02]",144,186,0,['PERSON'],175,1,"[""That's right.\\n\\n\\n\\nQ    ""]",[1272],['right.\\n\\n\\n\\nQ    ']
[ 187.    2. 1276.    9.   51.   31.   33.  164.],145,187,0,['ORG'],175,1,"['In addition to assisting smokers trying to quit\\n\\n\\n\\nsmoking, have you also done research into cigarette\\n\\n\\n\\ndesign, the qualities of cigarettes that make them\\n\\n\\n\\naddictive, youth marketing, and other topics, all\\n\\n\\n\\nrelated to cigarettes?\\n\\n\\n\\nA    Yes.  ']",[1276],['quit\\n\\n\\n\\nsmoking']
[ 188.    2. 1276.   10.   51.   31.   33.  134.],146,188,0,['PERSON'],175,1,"['In addition to assisting smokers trying to quit\\n\\n\\n\\nsmoking, have you also done research into cigarette\\n\\n\\n\\ndesign, the qualities of cigarettes that make them\\n\\n\\n\\naddictive, youth marketing, and other topics, all\\n\\n\\n\\nrelated to cigarettes?\\n\\n\\n\\nA    Yes.  ']",[1276],['cigarettes?\\n\\n\\n\\nA    ']
[ 190.    7. 1335.   10.   62.   83.   62.  193.],147,189,0,['ORG'],175,2,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['you\\n\\n\\n\\nknow']
[ 190.    7. 1335.   10.   62.   83.   62.  193.],147,190,0,['PERSON'],175,2,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['what\\n\\n\\n\\nproducts']
[ 191.    7. 1335.    9.   62.   83.   62.  157.],148,191,0,['ORG'],175,1,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['on\\n\\n\\n\\ntheir']
[ 195.    7. 1335.   10.   62.   83.   62.  143.],149,192,0,['PERSON'],175,4,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],"[""making.\\n\\n\\n\\nI've""]"
[ 195.    7. 1335.   10.   62.   83.   62.  143.],149,193,0,['DATE'],175,4,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['hard\\n\\n\\n\\nto']
[ 195.    7. 1335.   10.   62.   83.   62.  143.],149,194,0,['ORG'],175,4,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['deliver\\n\\n\\n\\nnicotine']
[ 195.    7. 1335.   10.   62.   83.   62.  143.],149,195,0,['PERSON'],175,4,"[""you\\n\\n\\n\\nknow, teenagers and why they take up smoking, and what\\n\\n\\n\\nproducts they select, and the effects of marketing on\\n\\n\\n\\ntheir decision making.\\n\\n\\n\\nI've done studies on product design and how it\\n\\n\\n\\nimpacts the exposures that smokers get and why it's hard\\n\\n\\n\\nto quit, so how the product is engineered to deliver\\n\\n\\n\\nnicotine, how it's basically engineered to make it hard\\n\\n\\n\\nto quit deliberately.  ""]",[1335],['hard\\n\\n\\n\\nto']
[ 196.    4. 1409.    0.   10.   80.   64.  158.],150,196,1,['CARDINAL'],175,1,"[""think we're one of the few in the country\\n\\n\\n\\nactually outside the cigarette industry where we started\\n\\n\\n\\nto collect the products from all over the country,\\n\\n\\n\\nactually all over the world, comparing the product\\n\\n\\n\\ndesigns across different companies, different brands,\\n\\n\\n\\nhow the product brands changed year to year, and how\\n\\n\\n\\nsome of those design changes affected how people""]",[1409],['one']
"[1.970e+02 4.000e+00 1.409e+03 1.000e+00 1.000e+01 8.000e+01 6.400e+01
 1.980e+02]",151,197,1,['DATE'],175,1,"[""think we're one of the few in the country\\n\\n\\n\\nactually outside the cigarette industry where we started\\n\\n\\n\\nto collect the products from all over the country,\\n\\n\\n\\nactually all over the world, comparing the product\\n\\n\\n\\ndesigns across different companies, different brands,\\n\\n\\n\\nhow the product brands changed year to year, and how\\n\\n\\n\\nsome of those design changes affected how people""]",[1409],['year to year']
[ 198.    2. 1465.    9.   53.   78.   43.  168.],152,198,0,['ORG'],175,1,['smoked.\\n\\n\\n\\nAnd that lab is still in existence today.  '],[1465],['smoked.\\n\\n\\n\\nAnd']
"[1.990e+02 2.000e+00 1.465e+03 1.000e+00 5.300e+01 7.800e+01 4.300e+01
 1.890e+02]",153,199,1,['DATE'],175,1,['smoked.\\n\\n\\n\\nAnd that lab is still in existence today.  '],[1465],['today']
[ 200.    8. 1475.   10.   64.   30.   61.   69.],154,200,0,['PERSON'],175,1,"[""I\\n\\n\\n\\nset it up with funding from the National Cancer\\n\\n\\n\\nInstitute, really started in the mid 90's, and that\\n\\n\\n\\nfunding has continued.\\n\\n\\n\\nWe just got renewed for funding.  ""]",[1475],['I\\n\\n\\n\\nset']
[ 201.    8. 1475.    9.   64.   30.   61.  173.],155,201,0,['ORG'],175,1,"[""I\\n\\n\\n\\nset it up with funding from the National Cancer\\n\\n\\n\\nInstitute, really started in the mid 90's, and that\\n\\n\\n\\nfunding has continued.\\n\\n\\n\\nWe just got renewed for funding.  ""]",[1475],['the National Cancer\\n\\n\\n\\nInstitute']
"[2.020e+02 8.000e+00 1.475e+03 1.000e+00 6.400e+01 3.000e+01 6.100e+01
 1.790e+02]",156,202,1,['DATE'],175,1,"[""I\\n\\n\\n\\nset it up with funding from the National Cancer\\n\\n\\n\\nInstitute, really started in the mid 90's, and that\\n\\n\\n\\nfunding has continued.\\n\\n\\n\\nWe just got renewed for funding.  ""]",[1475],"[""the mid 90's""]"
[ 203.    5. 1521.    9.   52.   17.   59.  166.],157,203,0,['ORG'],175,1,"['How many of your studies specifically related\\n\\n\\n\\nto cigarettes and nicotine addiction have been published\\n\\n\\n\\nin scientific and medical journals?\\n\\nQ    Robert Patterson, could you please share a little more about your childhood for the jury?\\n\\nA    ']",[1521],['related\\n\\n\\n\\nto']
[ 205.    5. 1521.   10.   52.   17.   59.  100.],158,205,1,['PERSON'],175,1,"['How many of your studies specifically related\\n\\n\\n\\nto cigarettes and nicotine addiction have been published\\n\\n\\n\\nin scientific and medical journals?\\n\\nQ    Robert Patterson, could you please share a little more about your childhood for the jury?\\n\\nA    ']",[1521],['Robert Patterson']
[ 206.    5. 1521.   10.   52.   17.   59.  147.],159,204,0,['NORP'],175,2,"['How many of your studies specifically related\\n\\n\\n\\nto cigarettes and nicotine addiction have been published\\n\\n\\n\\nin scientific and medical journals?\\n\\nQ    Robert Patterson, could you please share a little more about your childhood for the jury?\\n\\nA    ']",[1521],['journals?\\n\\nQ']
[ 206.    5. 1521.   10.   52.   17.   59.  147.],159,206,0,['PERSON'],175,2,"['How many of your studies specifically related\\n\\n\\n\\nto cigarettes and nicotine addiction have been published\\n\\n\\n\\nin scientific and medical journals?\\n\\nQ    Robert Patterson, could you please share a little more about your childhood for the jury?\\n\\nA    ']",[1521],['jury?\\n\\nA    ']
[ 207.    7. 1557.    9.   39.   22.   28.   49.],160,207,1,['ORG'],175,1,"['I was born in Detroit Receiving Hospital on Jan 12, 1979 on a cold night.\\n\\nA    ']",[1557],['Detroit Receiving Hospital']
"[2.080e+02 7.000e+00 1.557e+03 1.000e+00 3.900e+01 2.200e+01 2.800e+01
 7.000e+01]",161,208,1,['DATE'],175,1,"['I was born in Detroit Receiving Hospital on Jan 12, 1979 on a cold night.\\n\\nA    ']",[1557],"['Jan 12, 1979']"
"[2.090e+02 1.000e+00 1.601e+03 1.000e+01 7.800e+01 4.500e+01 5.200e+01
 1.920e+02]",162,209,0,['PERSON'],175,1,"[""So I've published about 420\\n\\n\\n\\npeer-reviewed scientific articles, many chapters in\\n\\n\\n\\nbooks, and that kind of thing as well.\\n\\n\\n\\nQ    ""]",[1601],['well.\\n\\n\\n\\nQ    ']
"[2.100e+02 1.000e+00 1.641e+03 7.000e+00 3.300e+01 7.400e+01 3.800e+01
 1.410e+02]",163,210,0,['NORP'],175,1,"['for\\n\\n\\n\\nscientists and public health officials like yourself,\\n\\n\\n\\nhave']",[1641],['for\\n\\n\\n\\nscientists']
[ 211.    2. 1648.   10.   75.   82.   52.  165.],164,211,0,['PERSON'],175,1,"['you also published chapters in books related\\n\\n\\n\\nspecifically to cigarette design, nicotine addiction?\\n\\n\\n\\nA    ']",[1648],['related\\n\\n\\n\\nspecifically']
[ 212.    2. 1648.   10.   75.   82.   52.  124.],165,212,0,['PERSON'],175,1,"['you also published chapters in books related\\n\\n\\n\\nspecifically to cigarette design, nicotine addiction?\\n\\n\\n\\nA    ']",[1648],['addiction?\\n\\n\\n\\nA    ']
"[2.130e+02 1.000e+00 1.665e+03 1.000e+01 7.200e+01 2.500e+01 4.200e+01
 1.330e+02]",166,213,0,['PERSON'],175,1,"[""I've been invited to do chapters\\n\\n\\n\\noccasionally for books.  ""]",[1665],['chapters\\n\\n\\n\\noccasionally']
[ 214.    2. 1676.    0.    9.   26.   33.  121.],167,214,1,['CARDINAL'],175,1,"[""I've probably done about 30 of\\n\\n\\n\\nthose.  ""]",[1676],['about 30']
[ 216.    6. 1685.    9.   55.   58.   41.  175.],168,215,0,['ORG'],175,2,"['Those include monographs, you know, the National\\n\\n\\n\\nCancer Institute, the Surgeon General.  ']",[1685],['the National\\n\\n\\n\\nCancer Institute']
[ 216.    6. 1685.    9.   55.   58.   41.  175.],168,216,1,['ORG'],175,2,"['Those include monographs, you know, the National\\n\\n\\n\\nCancer Institute, the Surgeon General.  ']",[1685],['the Surgeon General']
[ 217.    4. 1701.    9.   60.   27.    2.  197.],169,217,0,['ORG'],175,1,"[""I've written\\n\\n\\n\\nsections of Surgeon Generals' reports in the past.  ""]",[1701],['written\\n\\n\\n\\nsections']
[ 218.    4. 1701.    9.   60.   27.    2.  110.],170,218,1,['ORG'],175,1,"[""I've written\\n\\n\\n\\nsections of Surgeon Generals' reports in the past.  ""]",[1701],"[""Surgeon Generals'""]"
[ 219.    2. 1714.    9.   59.   28.   29.  188.],171,219,0,['ORG'],175,1,"[""I've\\n\\n\\n\\ndone chapters for encyclopedias on different aspects of\\n\\n\\n\\ncigarette smoking, including cigarette design, tobacco\\n\\n\\n\\nproduct marketing.\\n\\n\\n\\nQ    ""]",[1714],['tobacco\\n\\n\\n\\nproduct marketing.\\n\\n\\n\\nQ    ']
[ 222.    7. 1734.    9.   54.   68.   40.  172.],172,220,0,['ORG'],175,3,"[""You mentioned receiving grants, and\\n\\n\\n\\nwe're going to talk a little bit more about some\\n\\n\\n\\nspecific studies you've done which were funded by the\\n\\n\\n\\ngovernment, but let me ask you just some examples of\\n\\n\\n\\ngrants.\\n\\n\\n\\nWhat is the National Cancer Institute, or NCI?\\n\\n\\n\\nA    ""]",[1734],['some\\n\\n\\n\\nspecific']
[ 222.    7. 1734.    9.   54.   68.   40.  172.],172,221,0,['ORG'],175,3,"[""You mentioned receiving grants, and\\n\\n\\n\\nwe're going to talk a little bit more about some\\n\\n\\n\\nspecific studies you've done which were funded by the\\n\\n\\n\\ngovernment, but let me ask you just some examples of\\n\\n\\n\\ngrants.\\n\\n\\n\\nWhat is the National Cancer Institute, or NCI?\\n\\n\\n\\nA    ""]",[1734],['the\\n\\n\\n\\ngovernment']
[ 222.    7. 1734.    9.   54.   68.   40.  172.],172,222,1,['ORG'],175,3,"[""You mentioned receiving grants, and\\n\\n\\n\\nwe're going to talk a little bit more about some\\n\\n\\n\\nspecific studies you've done which were funded by the\\n\\n\\n\\ngovernment, but let me ask you just some examples of\\n\\n\\n\\ngrants.\\n\\n\\n\\nWhat is the National Cancer Institute, or NCI?\\n\\n\\n\\nA    ""]",[1734],['the National Cancer Institute']
[ 223.    7. 1734.   10.   54.   68.   40.   84.],173,223,0,['PERSON'],175,1,"[""You mentioned receiving grants, and\\n\\n\\n\\nwe're going to talk a little bit more about some\\n\\n\\n\\nspecific studies you've done which were funded by the\\n\\n\\n\\ngovernment, but let me ask you just some examples of\\n\\n\\n\\ngrants.\\n\\n\\n\\nWhat is the National Cancer Institute, or NCI?\\n\\n\\n\\nA    ""]",[1734],['NCI?\\n\\n\\n\\nA    ']
[ 224.    4. 1777.    9.   47.   56.   43.  114.],174,224,1,['ORG'],175,1,"['The National Cancer Institute is part of our""']",[1777],['The National Cancer Institute']
