,end_position,entity_type,lefts,rights,start_position,subtree,text_value
4871,331814,GPE,[],[],331810,[Ames],Ames
4872,331868,PERSON,[],[],331852,"[isn\'t, it?\n\nMR]",isn\'t it?\n\nMR
4873,331876,ORG,[],[:],331870,"[LATHAM, :,  ]",LATHAM
4874,331902,PERSON,[],[],331898,"[A.,  ]",A.  
4875,332133,PERSON,[],[],332114,"[example.\n\nQ.,     ]",example.\n\nQ.     
4876,332245,PERSON,[],[],332231,"[right?\n\nA.,  ]",right?\n\nA.  
4877,332553,GPE,[that],[],332546,"[that, you\'re]",you\'re
4878,332601,PERSON,[],[],332583,"[Brown, 6, Williamson]",Brown 6 Williamson
4879,332642,GPE,[this],[],332638,"[this, Ames]",Ames
4880,332728,CARDINAL,[],[],332725,[279],279
4881,332791,CARDINAL,[],[3430\n\n|],332788,"[490, -, 3430\n\n|]",490
4882,332855,CARDINAL,[],[],332854,[4],4
4883,333077,CARDINAL,[],[],333068,[498\n\nin],498\n\nin
4884,333250,ORG,[],[],333232,"[Brown, &, Williamson]",Brown & Williamson
4885,333269,ORG,[],[],333262,[Raleigh],Raleigh
4886,333294,CARDINAL,[the],[found],333291,"[the, one, they, found, the, carcinogen, in, in, 1952]",one
4887,333331,DATE,[],[],333327,[1952],1952
4888,333409,PERSON,[these],[],333392,"[these, bacteria?\n\nA.,  ]",bacteria?\n\nA.  
4889,333551,GPE,[],[],333547,[Ames],Ames
4890,333563,PERSON,[],[],333559,"[Q.,  ]",Q.  
4891,333636,GPE,[],[],333632,[Ames],Ames
4892,333662,PERSON,[],[],333655,[--first],--first
4893,333730,PERSON,[],[],333718,[\xef\xbf\xbd],\xef\xbf\xbd
4894,333832,CARDINAL,[],[],333829,[one],one
4895,333949,ORG,[],[],333938,[filters\'--],filters\'--
4896,334061,CARDINAL,[],[],334050,[that?\n\nMR],that?\n\nMR
4897,334069,PERSON,[],[:],334063,"[LATHAM, :,  ]",LATHAM
4898,334095,PERSON,[],[],334091,"[A.,  ]",A.  
4899,334198,CARDINAL,[],[],334195,[279],279
4900,334283,CARDINAL,[],[],334282,[4],4
4901,334311,PERSON,[],[],334296,[CO\n\nCO\n\n11\],CO\n\nCO\n\n11\
4902,334412,CARDINAL,[f\n\n\n\tPage],"[ , --, of]",334398,"[f\n\n\n\tPage, 499\n\n1\n\tA.,  , --, of, cigarette, smoke, using, skin, assay.\n\n2\n\tQ.,  ]",499\n\n1\n\tA.
4903,334466,PERSON,[skin],[],334447,"[skin, assay.\n\n2\n\tQ.,  ]",assay.\n\n2\n\tQ.  
4904,334518,CARDINAL,[],[],334502,[kinds\n\n3\n\tof],kinds\n\n3\n\tof
4905,334633,CARDINAL,[cured\n\n5\n\ttobacco],[ ],334614,"[flue, -, cured\n\n5\n\ttobacco, versus, burley, tobacco.\n\n6\n\tQ.,  ]",tobacco.\n\n6\n\tQ.
4906,334715,CARDINAL,[],[],334697,[burley?\n\n8\n\tMR],burley?\n\n8\n\tMR
4907,334723,PERSON,[],[:],334717,"[LATHAM, :,  ]",LATHAM
4908,334889,PERSON,[],[:],334883,"[LATHAM, :,  ]",LATHAM
4909,334934,PERSON,[],[],334912,[answering.\n\n13\n\tMR],answering.\n\n13\n\tMR
4910,334942,ORG,[],[:],334936,"[WILNER, :,  ]",WILNER
4911,334974,PERSON,[he],[],334958,"[he, was.\n\n14\n\tMR]",was.\n\n14\n\tMR
4912,334982,PERSON,[],[:],334976,"[LATHAM, :,  ]",LATHAM
4913,335022,DATE,[],[],335003,"[was.\n\n15\n\tBY, MR]",was.\n\n15\n\tBY MR
4914,335045,PERSON,[],[],335024,"[WILNER:\n\n16\n\tQ.,  ]",WILNER:\n\n16\n\tQ.  
4915,335190,PERSON,[the],[],335171,"[the, Ames\n\n19\n\tassay]",Ames\n\n19\n\tassay
4916,335370,PERSON,[],[],335353,[a\n\n22\n\tlittle],a\n\n22\n\tlittle
4917,335399,CARDINAL,[],[],335396,[one],one
4918,335435,GPE,[],[],335411,[higher\n\n23\n\tactivity],higher\n\n23\n\tactivity
4919,335443,CARDINAL,[],[],335440,[one],one
4920,335494,GPE,[],[],335470,[higher\n\n24\n\tactivity],higher\n\n24\n\tactivity
4921,335608,CARDINAL,[],[],335605,[279],279
4922,335959,PERSON,[],[],335712,"[o>\n\nCO\n\n4*\n\n\xef\xbf\xbd*t*mm*mmmmmmmmmmmMmmm\'ii*mmmmmmm\x0c\npgNbr=236\ns*\\\n\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage, 500\n\ntrying]",o>\n\nCO\n\n4*\n\n\xef\xbf\xbd*t*mm*mmmmmmmmmmmMmmm\'ii*mmmmmmm\x0c\npgNbr=236\ns*\\\n\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 500\n\ntrying
4923,336184,ORG,[],"[or, American]",336166,"[Brown, &, Williamson, or, American]",Brown & Williamson
4924,336196,NORP,[],[],336188,[American],American
4925,336243,PERSON,[],[],336239,"[A.,  ]",A.  
4926,336291,ORG,[],"[and, American]",336273,"[Brown, &, Williamson, and, American]",Brown & Williamson
4927,336304,NORP,[],[],336296,[American],American
4928,336419,ORG,[oriental],[ ],336404,"[oriental, tobaccos.\n\nQ.,  ]",tobaccos.\n\nQ.
4929,336476,PERSON,[],[],336461,"[others?\n\nA.,  ]",others?\n\nA.  
4930,336861,PERSON,[the],[ ],336848,"[the, humans?\n\nQ.,  ]",humans?\n\nQ.
4931,336873,PERSON,[So],"[saying, was]",336866,"[So, you\'re, saying, that, there, was, --, there, was, a, dilemma, provided, to, Brown, &, Williamson, Tobacco, Company, about, how, to, take, the, cancer, out, of, the, cigarette.\n\nMR, ,, LATHAM, :,  ]",you\'re
4932,336965,ORG,[],[],336931,"[Brown, &, Williamson, Tobacco, Company]",Brown & Williamson Tobacco Company
4933,337022,GPE,[the],[],337006,"[the, cigarette.\n\nMR]",cigarette.\n\nMR
4934,337030,PERSON,[],[],337024,[LATHAM],LATHAM
4935,337062,CARDINAL,[],[],337059,[279],279
4936,337166,CARDINAL,[*],[],337154,"[*, \xef\xbf\xbd]",\xef\xbf\xbd
4937,337360,PERSON,[],[],337311,"[MI""MMI\'\xef\xbf\xbd\n\ncn\n\nCO\n\n0>\n\nCo\n\no]","MI""MMI\'\xef\xbf\xbd\n\ncn\n\nCO\n\n0>\n\nCo\n\no"
4938,337414,CARDINAL,[],[],337413,[4],4
4939,337422,TIME,[4],[],337415,"[4, 5, 6, 7, 8]",5 6 7 8
4940,337436,CARDINAL,[],[],337434,[12],12
4941,337451,DATE,[],[],337440,"[14, 15, 16, 17]",14 15 16 17
4942,337454,CARDINAL,[],"[20, 22]",337452,"[18, 19, 20, 21, 22]",18
4943,337457,CARDINAL,[],[],337455,[19],19
4944,337460,CARDINAL,[19],[21],337458,"[19, 20, 21]",20
4945,337469,CARDINAL,[],[],337467,[23],23
4946,337483,CARDINAL,[24],[501\n\nA.],337473,"[23, 24, 25\n\nPage, 501\n\nA.,  ]",25\n\nPage
4947,337662,PRODUCT,[cigarette],[],337657,"[cigarette, Smoke]",Smoke
4948,337874,CARDINAL,[],[],337871,[one],one
4949,337943,LOC,"[the, other]","[ , Cook]",337932,"[the, other, side.\n\nQ.,  , Dr., Cook]",side.\n\nQ.
4950,337953,PERSON,[Dr.],[],337949,"[Dr., Cook]",Cook
4951,337989,PERSON,[],"[you, ?]",337982,"[didn\'t, you, ?,  ]",didn\'t
4952,338066,PERSON,[],[],338059,[Didn\'t],Didn\'t
4953,338454,PERSON,[],[],338444,[Williamson],Williamson
4954,338470,GPE,[],[],338464,[can\'t],can\'t
4955,338511,PERSON,[],[.],338509,"[MR, .]",MR
4956,338519,PERSON,[],[:],338513,"[LATHAM, :,  ]",LATHAM
4957,338602,CARDINAL,[],[],338599,[279],279
4958,338694,DATE,[],[.....],338638,"[www.veritext.coni\n\n212-490-3430\n\n%w\n\nnmtM>M, Mm, Hi*, .....]",www.veritext.coni\n\n212-490-3430\n\n%w\n\nnmtM>M Mm Hi*
4959,338725,PERSON,[],[],338699,[mmn^mmmmmnimfm\n\nwfmmmfmm],mmn^mmmmmnimfm\n\nwfmmmfmm
4960,338830,GPE,[],[],338817,[CO\n\nO)\n\n4],CO\n\nO)\n\n4
4961,339074,GPE,[],[],338923,[i.\n\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage],i.\n\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage
4962,339092,DATE,[502\n\nmany],[],339087,"[502\n\nmany, years]",years
4963,339216,DATE,[],[],339207,"[the, years]",the years
4964,339410,DATE,[],[],339401,"[the, years]",the years
4965,339660,PERSON,[],[],339646,"[smoke.\n\nQ.,  ]",smoke.\n\nQ.  
4966,339689,PERSON,[],['s],339684,"[that\, 's]",that\
4967,339786,CARDINAL,[just],[],339783,"[just, one]",one
4968,339825,PERSON,[],[],339812,[talk\n\nabout],talk\n\nabout
4969,339964,PERSON,[],[],339941,"[more\n\nburley?\n\nA.,  ]",more\n\nburley?\n\nA.  
4970,340264,PERSON,[],"[-, COMPANY, www.veritext.com\n\n212]",340253,"[some\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212, -, 490, -, 3430\n\n^i.iiM.wiiiiwMwiwiiiitiiiHiiipaiw^iiBtjlEji^,                                                                                                                                                         ]",some\n\n212
4971,340268,CARDINAL,[],[],340265,[279],279
4972,340331,CARDINAL,[],[],340328,[490],490
4973,340667,PERSON,[],[],340642,"[ , \xef\xbf\xbd\xef\xbf\xbd]", \xef\xbf\xbd\xef\xbf\xbd
4974,340789,DATE,"[,, I]",[],340769,"[,, I, ,, i.oiiii, mi, iiiinnriui, innn, nimn\n\n1\n\n\xef\xbf\xbd>*V.v\'\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9, 10, 11, 12, 13, 10, 11, 12, 13, 14, 15, 16]",10 11 12 13 14 15 16
4975,340807,DATE,[19],[],340799,"[19, 20, 21, 22]",20 21 22
4976,340810,CARDINAL,[],[],340808,[23],23
4977,340813,CARDINAL,[],[],340811,[24],24
4978,340834,CARDINAL,[24],[skin],340814,"[24, 25\n\nPage, 503\n\nof, the, skin, painting, activities.\n\nQ.,     ]",25\n\nPage 503\n\nof
4979,340875,ORG,[],[],340853,"[activities.\n\nQ.,     ]",activities.\n\nQ.     
4980,340958,ORG,[],[],340954,[Ames],Ames
4981,340972,PERSON,[],[],340965,[didn\'t],didn\'t
4982,341027,PERSON,[],[.],341025,"[MR, .]",MR
4983,341035,PERSON,[],[:],341029,"[LATHAM, :,  ]",LATHAM
4984,341087,GPE,[],[],341083,[Ames],Ames
4985,341298,ORG,[],[],341292,[we\'ve],we\'ve
4986,341359,CARDINAL,[],[],341356,[one],one
4987,341527,CARDINAL,[it\],[of],341524,"[it\, 's, one, of, the, things, that, is, one, way, to, kind, of, deal, with, this]",one
4988,341553,CARDINAL,[],[],341550,[one],one
4989,341664,GPE,[],[],341660,[Ames],Ames
4990,341680,ORG,[a],"[or, Kool?\n\nMR]",341673,"[a, Viceroy, or, a, Kool?\n\nMR]",Viceroy
4991,341697,PERSON,[a],[],341686,"[a, Kool?\n\nMR]",Kool?\n\nMR
4992,341705,PERSON,[],[:],341699,"[LATHAM, :,  ]",LATHAM
4993,341969,PERSON,[],"[using, ^tmmiimimflmmmmmmmmmim\n\nihiww\'iiiu, ..]",341963,"[we\'re, using, it, to\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212-490-3430\n\nrmmmmmmmmmmmm\n\nv, ^tmmiimimflmmmmmmmmmim\n\nihiww\'iiiu, ..]",we\'re
4994,341992,CARDINAL,[],[],341989,[279],279
4995,342120,ORG,[],[],342083,[^tmmiimimflmmmmmmmmmim\n\nihiww\'iiiu],^tmmiimimflmmmmmmmmmim\n\nihiww\'iiiu
4996,342539,ORG,[],[],342533,[we\'re],we\'re
4997,342715,PRODUCT,[a],"[or, Viceroy]",342711,"[a, Kool, or, a, Viceroy]",Kool
4998,342728,WORK_OF_ART,[a],[],342721,"[a, Viceroy]",Viceroy
4999,342758,PERSON,[],[.],342756,"[MR, .]",MR
5000,342766,PERSON,[],[:],342760,"[LATHAM, :,  ]",LATHAM
5001,342801,PERSON,[],"[they\'re, given, has, ?]",342788,"[A.,  , X, believe, they\'re, very, similar, in, terms, of, activity, given, the, sensitivity, of, the, assay.\n\nQ.,  , Well, ,, which, brand, has, the, least, activity, ,, as, you, call, it, ,, cancer, under, the, Ames, test, ?]",A.  X believe
5002,342967,GPE,[],[],342963,[Ames],Ames
5003,342976,PERSON,[],[.],342974,"[MR, .]",MR
5004,342984,PERSON,[],[:],342978,"[LATHAM, :,  ]",LATHAM
5005,343010,PERSON,[],[],343006,"[A.,  ]",A.  
5006,343014,PERSON,[],[],343013,[X],X
5007,343027,PERSON,[],[],343026,[X],X
5008,343172,CARDINAL,[],[],343171,[X],X
5009,343242,PERSON,[],[],343226,"[example.\n\nQ.,  ]",example.\n\nQ.  
5010,343304,PERSON,[],[],343291,"[said?\n\nA.,  ]",said?\n\nA.  
5011,343327,TIME,"[what, said?\n\nA., (, Nods]",[],343310,"[what, you, said?\n\nA.,  , (, Nods, head.)\n\nQt,     ]",head.)\n\nQt     
5012,343335,ORG,[],[],343333,[  ],  
5013,343432,CARDINAL,[],[],343429,[279],279
5014,343474,PRODUCT,"[a, cigarette\n\n212, REPORTING]",[],343460,"[a, cigarette\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY\n\nwww]",COMPANY\n\nwww
5015,343792,ORG,[],"[,, wouldn\'t, .]",343608,"[CO, CO\x0c\npgNbr=241\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage, 505\n\ndeveloped, ,, wouldn\'t, that, be, important, for, the, manufacturer, to, know?\n\nMR, .]",CO CO\x0c\npgNbr=241\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage 505\n\ndeveloped
5016,343857,GPE,[],[],343846,[know?\n\nMR],know?\n\nMR
5017,343865,PERSON,[],[:],343859,"[LATHAM, :,  ]",LATHAM
5018,343891,PERSON,[],[],343887,"[A.,  ]",A.  
5019,343924,GPE,[],[],343920,[Ames],Ames
5020,343992,PERSON,[when],[],343986,"[when, we\'re]",we\'re
5021,344122,CARDINAL,[it\],"[of, ,]",344119,"[it\, 's, one, of, several, evaluation, techniques, that, we, use.\n\nQ, ,,     ]",one
5022,344179,CARDINAL,[],[],344175,[    ],    
5023,344317,GPE,[],[],344313,[Ames],Ames
5024,344384,PERSON,[],[:],344378,"[LATHAM, :,  ]",LATHAM
5025,344410,PERSON,[],[],344406,"[A.,  ]",A.  
5026,344578,CARDINAL,[],[],344566,[tests.\n\nMR],tests.\n\nMR
5027,344586,PERSON,[],[:],344580,"[LATHAM, :,  ]",LATHAM
5028,344599,PERSON,[Mr.],"[,, 5:07, .]",344593,"[Mr., Wilner, ,, it\, 's, 5:07, .,  ]",Wilner
5029,344618,NORP,[],[],344614,[I\'m],I\'m
5030,344682,PERSON,[],[],344673,[up.\n\nMR],up.\n\nMR
5031,344690,ORG,[],[:],344684,"[WILNER, :,  ]",WILNER
5032,344703,NORP,[],[],344699,[I\'m],I\'m
5033,344746,PERSON,[],[:],344740,"[LATHAM, :,  ]",LATHAM
5034,344786,CARDINAL,[],[],344783,[279],279
5035,344892,PERSON,[],[],344822,"[www.veritext.com\n\n212-490-3430\n\n\xef\xbf\xbd, i4i|ii.mi\xef\xbf\xbd]",www.veritext.com\n\n212-490-3430\n\n\xef\xbf\xbd i4i|ii.mi\xef\xbf\xbd
5036,345154,ORG,[],[:],345148,"[WTLNER, :,  ]",WTLNER
5037,345242,ORG,[],[:],345236,"[LATHAM, :,  ]",LATHAM
5038,345290,ORG,[],[:],345284,"[WILNER, :,  ]",WILNER
5039,345337,PERSON,[if],"[going, --\n\nMR, .]",345330,"[if, you\'re, going, to, call, --\n\nMR, .]",you\'re
5040,345368,PERSON,[],[:],345362,"[LATHAM, :,  ]",LATHAM
5041,345441,ORG,[],[:],345435,"[WILNER, :,  ]",WILNER
5042,345449,PERSON,[],[],345448,[X],X
5043,345477,PERSON,[],[],345471,[there\],there\
5044,345541,ORG,[],[],345535,[we\'ll],we\'ll
5045,345595,DATE,[],[],345588,[Tuesday],Tuesday
5046,345632,PERSON,[],[],345619,[happen.\n\nMR],happen.\n\nMR
5047,345640,PERSON,[],[:],345634,"[LATHAM, :,  ]",LATHAM
5048,345654,PERSON,[],[],345652,[MR],MR
5049,345718,PERSON,[],[],345709,"[BL00900, X]",BL00900 X
5050,345832,PERSON,[the],[],345805,"[the, Hiram, Hanmer, piece.\n\nA.,  ]",Hiram Hanmer piece.\n\nA.  
5051,345851,PERSON,[],[],345847,"[Q.,  ]",Q.  
5052,345886,PERSON,[],[],345882,"[A.,  ]",A.  
5053,345919,PERSON,[],[],345915,"[Q.,  ]",Q.  
5054,345931,ORG,[],[],345923,[BLOOOIOO],BLOOOIOO
5055,345965,ORG,[],[],345960,[I\'ll],I\'ll
5056,346023,CARDINAL,[],[],346020,[279],279
5057,346127,PERSON,[],[],346106,[inmmmm*w*\'*mmmmmmmmi],inmmmm*w*\'*mmmmmmmmi
5058,346148,PERSON,[<],[],346128,"[<, mmi**ii*\n\nCO\n\no, >]",mmi**ii*\n\nCO\n\no>
5059,346205,CARDINAL,[],"[and, development]",346149,"[4*\n\nCO\n\no\n\n4*\x0c\npgNbr=243\nPage, 507\n\nresearch, and, development, ,]",4*\n\nCO\n\no\n\n4*\x0c\npgNbr=243\nPage 507\n\nresearch
5060,346234,ORG,[],[],346223,[1963.\n\nIs],1963.\n\nIs
5061,346395,NORP,[my],[],346379,"[my, knowledge.\n\nMR]",knowledge.\n\nMR
5062,346403,ORG,[],[:],346397,"[WILNER, :,  ]",WILNER
5063,346429,PERSON,"[Okay, ,, with, ,]","[--\n\nMR, .]",346423,"[Okay, ,, with, that, ,, we\'re, --\n\nMR, .]",we\'re
5064,346446,PERSON,[],[:],346440,"[LATHAM, :,  ]",LATHAM
5065,346471,DATE,[],[],346464,"[the, day]",the day
5066,346523,ORG,[],[],346512,[time.\n\nMR],time.\n\nMR
5067,346531,ORG,[],[:],346525,"[WILNER, :,  ]",WILNER
5068,346614,ORG,[],[:],346608,"[LATHAM, :,  ]",LATHAM
5069,346643,DATE,[],[],346635,[Thursday],Thursday
5070,346728,ORG,[],[:],346722,"[WILNER, :,  ]",WILNER
5071,346808,CARDINAL,[],[9424],346805,"[212, -, 279, -, 9424,                                   ]",212
5072,346906,CARDINAL,[],[],346903,[212],212
5073,346956,CARDINAL,[3430\x0c\npgNbr=244\nPage],[:],346937,"[212, -, 490, -, 3430\x0c\npgNbr=244\nPage, 508\n\nVIDEOGRAPHER, :,  ]",508\n\nVIDEOGRAPHER
5074,347008,PERSON,[],"[,, II]",346992,"[Christopher, Cook, ,, Volume, II]",Christopher Cook
5075,347051,CARDINAL,[],[],347047,[five],five
5076,347108,CARDINAL,[],"[,]",347088,"[17:09.\n\n(WHEREUPON, ,]",17:09.\n\n(WHEREUPON
5077,347122,TIME,[],[],347113,"[5:09, P.M.]",5:09 P.M.
5078,347226,PERSON,[],"[AND, SWORN]",347191,"[CHRISTOPHER, JOHN, COOK\n\nSUBSCRIBED, AND, SWORN, to, before, me\n\nthis, day]",CHRISTOPHER JOHN COOK\n\nSUBSCRIBED
5079,347277,PERSON,[COOK\n\nSUBSCRIBED],[],347262,"[CHRISTOPHER, JOHN, COOK\n\nSUBSCRIBED, AND, SWORN, to, before, me\n\nthis, day, \xef\xbf\xbd,   ]",\xef\xbf\xbd   
5080,347315,CARDINAL,[],[],347300,[2011*\n\nNotary],2011*\n\nNotary
5081,347360,ORG,"[,, 2011*\n\nNotary]",[],347316,"[,, 2011*\n\nNotary, Public\n\nMy, Commission, Expires:\n\nVERITEXT]",Public\n\nMy Commission Expires:\n\nVERITEXT
5082,347382,CARDINAL,[],[9424],347379,"[212, -, 279, -, 9424,                                   ]",212
5083,347480,CARDINAL,[],[],347477,[212],212
5084,347521,CARDINAL,"[212, 3430\x0c\npgNbr=245\n1, 2\n\n3]",[],347515,"[212, -, 490, -, 3430\x0c\npgNbr=245\n1, 2\n\n3, 4\n\n5]",4\n\n5
5085,347528,CARDINAL,[],[],347522,[6\n\n7],6\n\n7
5086,347532,CARDINAL,[],[],347531,[9],9
5087,347541,CARDINAL,[],[],347539,[12],12
5088,347544,CARDINAL,[],[],347542,[13],13
5089,347550,DATE,[],[],347545,"[14, 15]",14 15
5090,347553,CARDINAL,[],[],347551,[16],16
5091,347556,CARDINAL,[],[],347554,[17],17
5092,347559,CARDINAL,[],[],347557,[18],18
5093,347622,CARDINAL,[],"[OF, ,]",347604,"[509\n\nCERTIFICATE, OF, REPORTER, STATE, OF, NORTH, CAROLINA,  , >, COUNTY, OF, WAKE,                           , ), \n\nI, ,]",509\n\nCERTIFICATE
5094,347671,ORG,[>],[WAKE],347662,"[NORTH, CAROLINA,  , >, COUNTY, OF, WAKE,                           ]",COUNTY OF
5095,347729,PERSON,[],"[,, officer, ,]",347711,"[DEBRA, DAVIS, BOWDEN, ,, the, officer, before, whom, the, foregoing, deposition, was, taken, ,]",DEBRA DAVIS BOWDEN
5096,348358,ORDINAL,[],[],348355,[3rd],3rd
5097,348372,DATE,[],[],348366,[August],August
5098,348388,CARDINAL,[],[],348374,[2011.\n\nDEBRA],2011.\n\nDEBRA
5099,348394,ORG,[2011.\n\nDEBRA],"[Public, www.veritext.com\n\n212, in]",348389,"[2011.\n\nDEBRA, DAVIS, BOWDEN\n\nCertified, Realtime, Reporter\n\nRegistered, Merit, Reporter\n\nNotary, Public, in, and, for\n\nCounty, of, Wake\n\nState, of, North, Carolina\n\nNotary, Public, Number, 20042990285\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212, -, 490, -, 3430\n\np\, ', in]",DAVIS
5100,348423,PRODUCT,[],[],348395,"[BOWDEN\n\nCertified, Realtime]",BOWDEN\n\nCertified Realtime
5101,348558,ORG,[],"[20042990285\n\n212, -, COMPANY]",348503,"[Wake\n\nState, of, North, Carolina\n\nNotary, Public, Number, 20042990285\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY]",Wake\n\nState of North Carolina\n\nNotary Public Number
5102,348577,CARDINAL,[],[],348559,[20042990285\n\n212],20042990285\n\n212
5103,348581,CARDINAL,[],[],348578,[279],279
5104,348644,CARDINAL,[],[],348641,[490],490
5105,348702,ORG,[],[)],348667,"[nmmnm^mmmmmmK^mtmmmmimmm\n\nCD, CO, O, )]",nmmnm^mmmmmmK^mtmmmmimmm\n\nCD CO O
5106,348705,CARDINAL,[],[],348704,[4],4
5107,348719,PERSON,"[4, *]",[)],348707,"[4, *, CO\n\no\n\nO, )]",CO\n\no\n\nO
5108,348763,CARDINAL,[CO\n\no\n\nO],[..],348721,"[4, *, CO\n\no\n\nO, ), 4*\n\n4*\x0c\npgNbr=246\n\xef\xbf\xbd\n\nv, ..]",4*\n\n4*\x0c\npgNbr=246\n\xef\xbf\xbd\n\nv
5109,348772,CARDINAL,[],[],348771,[0],0
5110,348849,CARDINAL,[],[],348848,[4],4
5111,348884,PERSON,[],[],348859,[0)\n\ncn\x0c\npgNbr=247\n],0)\n\ncn\x0c\npgNbr=247\n
5112,348915,ORG,[],[],348885,"[&, -10:44]\n\nPagel\n\n&\n\n, &,  ]",& -10:44]\n\nPagel\n\n&\n\n&  
5113,348946,CARDINAL,"[265:17,22]",[268:17],348941,"[265:17,22, 266:3, 268:17]",266:3
5114,348953,CARDINAL,[],[],348947,[268:17],268:17
5115,348972,CARDINAL,[],[],348966,[283:12],283:12
5116,348981,PRODUCT,[],[],348973,"[290:2,10]","290:2,10"
5117,348987,CARDINAL,"[283:12, 290:2,10]",[],348982,"[283:12, 290:2,10, 291:6]",291:6
5118,349003,CARDINAL,"[292:6,23]",[],348997,"[292:6,23, 293:21]",293:21
5119,349024,MONEY,[],[],349004,"[294:3,23, 295:6,10,13]","294:3,23 295:6,10,13"
5120,349043,CARDINAL,[],[],349031,"[301:10,16,19]","301:10,16,19"
5121,349056,CARDINAL,[],[],349050,[302:19],302:19
5122,349071,CARDINAL,[],[],349065,[305:11],305:11
5123,349090,CARDINAL,[],[],349084,[307:12],307:12
5124,349101,CARDINAL,[],[],349091,"[308:5,9,16]","308:5,9,16"
5125,349113,CARDINAL,"[307:12, 308:5,9,16]",[310:8],349102,"[307:12, 308:5,9,16, 309:1,15,24, 310:8, 310:15,18311:5,11]","309:1,15,24"
5126,349137,CARDINAL,[],[],349120,"[310:15,18311:5,11]","310:15,18311:5,11"
5127,349149,PRODUCT,[],[],349138,"[312:2,10,25]","312:2,10,25"
5128,349156,CARDINAL,[],[],349150,[313:10],313:10
5129,349163,ORG,[313:10],[],349157,"[313:10, 313:15]",313:15
5130,349170,CARDINAL,[313:15],"[320:13,23]",349164,"[313:10, 313:15, 314:21, 318:24, 319:25, 320:13,23, 321:16]",314:21
5131,349184,CARDINAL,[318:24],[],349178,"[318:24, 319:25]",319:25
5132,349215,CARDINAL,[],[],349209,[329:14],329:14
5133,349253,CARDINAL,[334:19],[339:10],349243,"[334:19, 337:3,5,24, 339:10]","337:3,5,24"
5134,349260,CARDINAL,[],[],349254,[339:10],339:10
5135,349266,CARDINAL,[],"[341:5,5,10]",349261,"[340:2, 341:3, 341:5,5,10]",340:2
5136,349272,CARDINAL,[],[],349267,[341:3],341:3
5137,349283,CARDINAL,[341:3],[],349273,"[341:3, 341:5,5,10]","341:5,5,10"
5138,349290,GPE,[],[],349284,[346:20],346:20
5139,349305,CARDINAL,[355:4],"[364:6,11]",349297,"[355:4, 356:7,22, 360:9, 364:6,11, 369:9,14,18]","356:7,22"
5140,349320,CARDINAL,[360:9],"[369:9,14,18]",349312,"[360:9, 364:6,11, 369:9,14,18]","364:6,11"
5141,349332,CARDINAL,[],[],349321,"[369:9,14,18]","369:9,14,18"
5142,349339,CARDINAL,[],[],349333,[371:18],371:18
5143,349346,CARDINAL,[371:18],[],349340,"[371:18, 375:20]",375:20
5144,349381,CARDINAL,[],[],349370,[382:1388:16],382:1388:16
5145,349399,ORG,[],[],349388,[413:13441:2],413:13441:2
5146,349415,CARDINAL,[],[],349400,"[445:13,18,19,23]","445:13,18,19,23"
5147,349424,CARDINAL,"[413:13441:2, 445:13,18,19,23]",[],349416,"[413:13441:2, 445:13,18,19,23, 448:5,18]","448:5,18"
5148,349433,CARDINAL,[],[],349425,"[450:3,10]","450:3,10"
